Asset1,Asset2,Cointegration P-Value,Pearson,Spearman,Kendall,Hedge Ratio,Half-Life
ICPUSDT,ANKRUSDT,0.0002590794393579,0.9634930070241732,0.9299422073152248,0.787682438993403,252.02784040436853,2.999472049786388
RPLUSDT,REZUSDT,0.0002613968667182,0.958532941484385,0.918220436999526,0.7718513546861931,188.20156372241163,4.0424180326853705
ICPUSDT,ICXUSDT,0.0003482806488383,0.955186762426017,0.9072623883450408,0.7494368841284359,51.73141215534259,4.203869555733899
BNBUSDT,BADGERUSDT,0.0003754998647345,0.9352806767816207,0.9288764658111974,0.7708856745540771,110.8599255340243,4.024742462073866
RLCUSDT,IOUSDT,0.0004276999885171,0.9231644015075064,0.9462831598406044,0.7976545394262763,0.4717719282905483,4.1856290314114615
MANAUSDT,u1000PEPEUSDT,0.0004310579874472,0.909043811031994,0.9372719340708217,0.7934307382743883,21.820949051168117,5.06669522581258
OGNUSDT,MOVRUSDT,0.0004611101032523,0.9559950926176856,0.942094846195758,0.8006099965120157,0.0069417228276446,2.424855608486842
SXPUSDT,u1000PEPEUSDT,0.0005371131626499,0.91073807421042,0.9107796036047032,0.7566368265696277,11.422228137504984,4.222801159389203
OGNUSDT,ANKRUSDT,0.0005915594793354,0.9629340846813292,0.9362812656766498,0.7999873827242234,2.706717593534118,2.942412195055031
NTRNUSDT,DYMUSDT,0.0006107834183586,0.9629967640364032,0.908921985829422,0.7644695456182974,0.2077777810960902,4.269862680347687
WLDUSDT,BRETTUSDT,0.0006488051697913,0.9239399292214624,0.9307202980183256,0.785171750161494,12.84207137310762,4.3114726211660015
AXSUSDT,EGLDUSDT,0.0006584944797559,0.949947411204481,0.9368827951596912,0.7938575194038066,0.1638619705592628,7.402365959770545
IDUSDT,METISUSDT,0.0006655956481271,0.9539467570324388,0.947691003014216,0.8142940452277587,0.0075046475743016,4.336593627058079
BALUSDT,1INCHUSDT,0.0007172947248181,0.9538289447107472,0.9480468778856868,0.8061181570686354,5.579591518885261,3.969473775422596
ARPAUSDT,MOVRUSDT,0.0007428857909889,0.9351791216365712,0.914292693383388,0.756755009082111,0.0029386722101998,2.868898333633892
RONUSDT,BBUSDT,0.0009205395612247,0.93260368641482,0.9123331360380176,0.745268399631322,3.519595953326124,4.42765168570637
ZILUSDT,u1000PEPEUSDT,0.0009399296746562,0.9090467547060724,0.9403519299870168,0.8041024328828775,0.8518886290901673,5.428483092090612
API3USDT,STRKUSDT,0.0009798539556058,0.9585467484292832,0.9210507599121563,0.7761329407071551,3.008950931334456,4.438836055190189
HIGHUSDT,STRKUSDT,0.0010124918492812,0.9489103389673126,0.9202712193555338,0.7845197756844207,2.2409821253805533,4.478352488616036
PIXELUSDT,FOXYUSDT,0.0010249934399538,0.9355957765251482,0.9476758252177596,0.8043869475120444,14.164672154201362,5.600463460996775
ADAUSDT,XLMUSDT,0.0010422724837858,0.9775953831004034,0.9107641651303215,0.7650889363492742,1.8493555740682963,3.607442351678349
AXSUSDT,ARBUSDT,0.0010439119985347,0.9769983614133376,0.9782857813562262,0.8759050791908423,7.211359790707614,2.6649948062803874
BANDUSDT,MOVRUSDT,0.0011023105831094,0.9455249847878182,0.9341763198143512,0.7909040863995106,0.0922735808779557,3.301827378680249
ASTRUSDT,NTRNUSDT,0.0011607622346551,0.952540236021171,0.9133106852603864,0.757718099461373,0.1088122555605498,4.601105204256828
TRBUSDT,ACEUSDT,0.0012056525154643,0.937542317860411,0.9011144451197844,0.7510652786867456,20.85502003515836,3.4636045330736684
MTLUSDT,DENTUSDT,0.0012838755558184,0.924929713607478,0.9110627710204686,0.7426257486231127,631.4002045946746,4.195840065584682
LPTUSDT,VANRYUSDT,0.0014095759368344,0.9201752346071296,0.9019441523079984,0.7412709727280165,92.3882668836298,5.5262216763422325
MAGICUSDT,ETHFIUSDT,0.0014149824990153,0.959722229201582,0.9615608016487116,0.838636532491643,0.2093772435996165,3.7272421654676102
TRBUSDT,AEVOUSDT,0.0016301646177895,0.9233445816818582,0.9157246407884496,0.7627419323573315,124.75443123479992,3.68195176665032
BALUSDT,IOUSDT,0.0018945840139811,0.9182631299592532,0.9191555093845772,0.7490197412158079,0.5752282759927463,4.762352097486607
PHBUSDT,u10000000AIDOGEUSDT,0.0019159753775408,0.917917952573958,0.9321880248714468,0.7714637870050665,400.03304054258746,4.850106934833802
1INCHUSDT,ETHFIUSDT,0.0020867037410788,0.9121461010857672,0.908475475446714,0.7423442170014591,0.1439549621660792,5.341458813524818
BANDUSDT,SNXUSDT,0.0020943752500957,0.9444374021978074,0.9109755270611968,0.7760604585263434,0.5254648996816105,5.5772725818035696
NEOUSDT,DENTUSDT,0.0022068364185902,0.978224061787886,0.9631855547827276,0.8435282968554211,10220.83525723792,1.749699718002692
API3USDT,LISTAUSDT,0.0022124232460814,0.9126697686872748,0.9271276538902492,0.7757297001225759,3.245417955253882,4.971356119478256
LINKUSDT,ALGOUSDT,0.0023822281936923,0.9546298347129106,0.9563586990601136,0.8235485057240568,42.20953811772835,5.113447063039888
PERPUSDT,BEAMUSDT,0.0027434448439389,0.9406399462237442,0.9384303237223462,0.7979204146468533,22.89045059828644,4.32215742916607
OGNUSDT,BEAMUSDT,0.0027884370324312,0.9197647307793484,0.9080759126666624,0.7463000431084164,2.8645786847675985,4.05668955142223
LINAUSDT,VANRYUSDT,0.0029173782679028,0.964227001900291,0.940262243451632,0.8117070640033908,0.0391206936861172,5.0318312213445
BALUSDT,FILUSDT,0.0029322708932062,0.923118261075644,0.9186598128882508,0.7534226720000978,0.4092681179850581,5.862140229352868
ALPHAUSDT,BEAMUSDT,0.0029418888726165,0.9129007616749784,0.9272095925491478,0.7769248214485989,2.5671920015830048,5.969276862800927
PIXELUSDT,BRETTUSDT,0.0030767740762587,0.9234751549086244,0.9048953978841928,0.7361327359780753,1.214561321479822,5.668341435394122
